timestamp,gesture,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
98,wave,0.56,-1.35,0.20,-197.63,204.90,-505.25
99,wave,0.56,-1.27,0.32,-206.24,193.36,-551.70
100,wave,0.55,-1.08,0.41,-198.79,156.62,-632.63
101,wave,0.52,-0.83,0.46,-179.44,136.29,-658.14
102,wave,0.49,-0.61,0.49,-162.23,117.68,-678.34
103,wave,0.48,-0.45,0.51,-158.20,100.71,-698.79
104,wave,0.49,-0.29,0.52,-168.15,83.19,-720.40
105,wave,0.51,-0.11,0.56,-186.95,62.56,-740.72
106,wave,0.59,0.28,0.69,-210.69,37.60,-755.92
107,wave,0.59,0.44,0.74,-230.59,7.39,-761.54
108,wave,0.57,0.57,0.72,-235.47,-27.59,-755.86
109,wave,0.56,0.69,0.64,-218.38,-64.45,-740.42
110,wave,0.58,0.86,0.57,-178.28,-97.72,-717.35
111,wave,0.63,1.12,0.51,-118.47,-123.54,-686.77
112,wave,0.69,1.49,0.41,-46.45,-141.72,-645.45
113,wave,0.70,1.94,0.24,66.41,-147.71,-518.31
114,wave,0.60,2.38,0.07,72.94,-130.19,-431.88
115,wave,0.44,2.71,-0.04,56.03,-106.75,-332.89
116,wave,0.30,2.86,-0.06,41.02,-88.44,-227.91
117,wave,0.21,2.81,-0.06,42.72,-79.90,-128.54
118,wave,0.20,2.59,-0.10,56.34,-76.78,-47.61
